S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,37.35,317.00,321.00,312.20,317.00,317.00,0.00,0.00,316.97,"61,925.00",317.01,"19,628,069.40",335,-0.01,8.80,0.00,2.82,0.01,400.00,272.30
2,CZBIL,40.63,206.90,206.90,200.30,206.00,206.00,0.00,0.00,204.77,"49,608.00",204.38,"10,158,090.60",170,1.62,6.60,0.79,3.30,0.60,265.30,196.00
3,EBL,33.34,705.00,719.00,701.10,712.00,712.00,0.00,0.00,711.70,"48,632.00",704.96,"34,611,223.20",331,7.04,17.90,1.00,2.55,0.04,780.60,567.00
4,GBIME,38.87,248.10,248.70,243.00,247.90,247.90,0.00,0.00,246.88,"100,523.00",243.33,"24,817,219.30",433,4.57,5.70,1.88,2.35,0.41,278.90,210.70
5,HBL,34.59,198.00,201.00,198.00,200.10,200.10,0.00,0.00,199.87,"81,131.00",198.29,"16,215,849.90","3,501",1.81,3.00,0.91,1.52,0.11,286.00,184.00
6,KBL,34.61,192.00,193.90,189.50,193.50,193.50,0.00,0.00,192.84,"329,851.00",189.75,"63,607,209.10",879,3.75,4.40,1.98,2.32,0.34,253.50,175.50
7,LSL,37.28,230.00,232.50,226.30,231.90,231.90,0.00,0.00,230.29,"77,328.00",230.85,"17,808,086.40",274,1.05,6.20,0.45,2.74,0.69,274.90,201.00
8,MBL,22.06,233.00,233.00,226.00,228.00,228.00,0.00,0.00,228.23,"64,552.00",229.92,"14,732,715.30",266,-1.92,7.00,-0.84,3.10,-0.10,290.00,208.60
9,NABIL,40.51,516.90,525.00,513.00,523.50,523.50,0.00,0.00,519.70,"55,373.00",510.18,"28,777,561.90",581,13.32,12.00,2.61,2.34,0.73,619.00,471.00
10,NBL,38.32,254.00,254.00,249.00,250.00,250.00,0.00,0.00,250.89,"69,210.00",249.03,"17,364,392.70",320,0.97,5.00,0.39,2.01,-0.36,313.00,225.40
11,NICA,30.28,335.00,338.90,333.00,336.80,336.80,0.00,0.00,335.60,"49,990.00",331.42,"16,776,510.50",314,5.38,5.90,1.62,1.77,0.36,505.00,308.70
12,NIMB,35.23,208.50,208.50,204.00,205.00,205.00,0.00,0.00,205.47,"93,227.00",204.45,"19,155,109.10",411,0.55,4.50,0.27,2.21,-0.23,264.90,189.20
13,NMB,39.67,247.00,250.80,246.00,249.00,249.00,0.00,0.00,248.44,"41,458.00",245.90,"10,300,005.50",183,3.10,4.80,1.26,1.95,0.22,288.00,230.00
14,PCBL,41.35,249.00,251.30,246.00,251.30,251.30,0.00,0.00,249.20,"68,899.00",245.26,"17,169,582.90",197,6.04,5.30,2.46,2.15,0.84,305.70,226.00
15,PRVU,40.72,206.80,209.90,205.10,208.10,208.10,0.00,0.00,208.15,"117,131.00",205.26,"24,380,291.60",394,2.84,4.80,1.38,2.34,-0.02,273.00,186.00
16,SANIMA,23.84,334.00,343.50,330.60,343.00,343.00,0.00,0.00,337.02,"150,053.00",337.34,"50,570,644.00",601,5.66,12.90,1.68,3.90,1.74,391.00,285.00
17,SBI,39.39,391.50,394.00,387.00,392.70,392.70,0.00,0.00,390.23,"20,379.00",384.03,"7,952,583.20",113,8.67,7.00,2.26,1.81,0.63,549.00,363.00
18,SBL,19.64,366.00,366.00,358.00,362.00,362.00,0.00,0.00,360.75,"45,749.00",361.04,"16,504,079.50",160,0.96,8.00,0.27,2.23,0.34,408.00,261.00
19,SCB,30.05,629.50,635.00,620.10,634.00,634.00,0.00,0.00,627.39,"16,046.00",618.27,"10,067,083.30",153,15.73,14.90,2.54,2.40,1.04,779.20,594.90
