S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ADBL,34.89,311.00,317.90,311.00,317.30,317.30,0.00,0.00,316.46,"29,186.00",316.00,"9,236,251.30",132,1.30,6.90,0.41,2.22,0.26,303.32,302.16,400.00,272.30
2,CZBIL,36.73,202.00,204.00,202.00,204.00,204.00,0.00,0.00,203.04,"42,794.00",202.80,"8,688,954.20",72,1.20,2.00,0.59,0.99,0.47,211.25,212.05,265.30,196.00
3,EBL,30.81,705.00,716.00,702.00,714.80,714.80,0.00,0.00,710.12,"21,113.00",710.00,"14,992,798.60",141,4.80,14.00,0.68,1.99,0.65,666.71,645.24,780.60,567.00
4,GBIME,33.33,245.00,249.10,243.00,247.00,247.00,0.00,0.00,246.66,"52,765.00",247.00,"13,015,124.20",239,0.00,6.10,0.00,2.51,0.14,237.52,232.87,278.90,210.70
5,HBL,34.52,194.80,201.90,194.80,201.50,201.50,0.00,0.00,199.47,"60,322.00",198.70,"12,032,636.20","2,108",2.80,7.10,1.41,3.64,1.01,223.09,227.38,286.00,184.00
6,KBL,35.86,190.00,191.00,189.00,190.30,190.30,0.00,0.00,190.05,"218,413.00",187.60,"41,510,094.30",478,2.70,2.00,1.44,1.06,0.13,206.93,207.33,253.50,175.50
7,LSL,36.19,229.00,231.00,227.30,230.00,230.00,0.00,0.00,229.39,"99,514.00",230.90,"22,827,554.50",168,-0.90,3.70,-0.39,1.63,0.27,223.47,223.28,274.90,201.00
8,MBL,27.29,223.00,224.70,221.10,224.00,224.00,0.00,0.00,222.21,"26,621.00",223.00,"5,915,539.00",108,1.00,3.60,0.45,1.63,0.80,232.96,232.52,290.00,208.60
9,NABIL,34.58,523.00,524.90,516.00,521.60,521.60,0.00,0.00,522.12,"28,626.00",522.00,"14,946,270.30",236,-0.40,8.90,-0.08,1.72,-0.10,504.01,500.87,619.00,471.00
10,NBL,35.82,250.00,251.00,248.00,250.00,250.00,0.00,0.00,249.81,"56,399.00",249.00,"14,089,058.00",169,1.00,3.00,0.40,1.21,0.08,260.11,259.61,313.00,225.40
11,NICA,33.43,330.10,336.70,330.10,331.20,331.20,0.00,0.00,332.68,"24,603.00",334.00,"8,184,953.00",198,-2.80,6.60,-0.84,2.00,-0.45,361.94,367.61,505.00,308.70
12,NIMB,33.05,207.50,207.50,204.40,206.00,206.00,0.00,0.00,205.31,"38,465.00",205.00,"7,897,131.00",195,1.00,3.10,0.49,1.52,0.34,214.18,214.80,264.90,189.20
13,NMB,33.62,250.00,250.00,243.60,248.40,248.40,0.00,0.00,245.09,"20,443.00",247.90,"5,010,340.60",116,0.50,6.40,0.20,2.63,1.33,249.75,248.75,288.00,230.00
14,PCBL,37.32,245.00,250.90,245.00,248.90,248.90,0.00,0.00,248.05,"59,963.00",248.20,"14,873,793.60",98,0.70,5.90,0.28,2.41,0.34,252.13,251.99,305.70,226.00
15,PRVU,34.54,209.00,209.00,205.50,205.90,205.90,0.00,0.00,206.72,"58,870.00",205.30,"12,169,772.70",194,0.60,3.50,0.29,1.70,-0.40,211.58,215.34,273.00,186.00
16,SANIMA,20.14,334.00,336.00,331.70,332.90,332.90,0.00,0.00,332.94,"39,197.00",335.00,"13,050,145.20",237,-2.10,4.30,-0.63,1.30,-0.01,333.52,322.63,391.00,285.00
17,SBI,32.76,395.00,396.00,388.00,395.90,395.90,0.00,0.00,390.30,"8,475.00",395.00,"3,307,777.30",55,0.90,8.00,0.23,2.06,1.41,405.03,411.74,549.00,363.00
18,SBL,13.78,356.00,358.00,352.00,356.00,356.00,0.00,0.00,354.15,"18,084.00",357.60,"6,404,485.50",81,-1.60,6.00,-0.45,1.70,0.52,324.95,314.10,408.00,261.00
19,SCB,37.17,628.50,633.00,620.00,624.10,624.10,0.00,0.00,624.96,"28,886.00",632.00,"18,052,677.60",154,-7.90,13.00,-1.25,2.10,-0.14,630.10,643.22,779.20,594.90
