S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,590.00,595.00,585.00,590.00,590.00,0.00,0.00,592.09,6229.00,590.00,3688123.00,35,0.00,10.00,0.00,1.71,-0.35,0.00,0.00
2,CZBIL,-,631.00,640.00,635.00,636.00,636.00,0.00,0.00,637.50,19646.00,631.00,12524393.00,71,5.00,5.00,0.00,0.79,-0.24,0.00,0.00
3,EBL,-,2380.00,2510.00,2379.00,2500.00,2500.00,0.00,0.00,2435.74,11004.00,2380.00,26802884.00,105,120.00,131.00,0.00,5.51,2.57,0.00,0.00
4,GBIME,-,473.00,480.00,471.00,475.00,475.00,0.00,0.00,476.16,33083.00,473.00,15752699.00,88,2.00,9.00,0.00,1.91,-0.24,0.00,0.00
5,HBL,-,1160.00,1190.00,1165.00,1177.00,1177.00,0.00,0.00,1179.11,6787.00,1160.00,8002635.00,36,17.00,25.00,0.00,2.15,-0.18,0.00,0.00
6,NABIL,-,1907.00,1976.00,1900.00,1955.00,1955.00,0.00,0.00,1923.15,4212.00,1907.00,8100299.00,41,48.00,76.00,0.00,4.00,1.63,0.00,0.00
7,NBL,-,372.00,378.00,367.00,367.00,367.00,0.00,0.00,371.94,51310.00,372.00,19084316.00,74,-5.00,11.00,0.00,3.00,-1.35,0.00,0.00
8,NICA,-,749.00,760.00,737.00,755.00,755.00,0.00,0.00,754.37,29107.00,749.00,21957580.00,79,6.00,23.00,0.00,3.12,0.08,0.00,0.00
9,NMB,-,537.00,547.00,531.00,547.00,547.00,0.00,0.00,539.78,54898.00,537.00,29633100.00,140,10.00,16.00,0.00,3.01,1.32,0.00,0.00
10,PCBL,-,535.00,536.00,530.00,530.00,530.00,0.00,0.00,534.12,15391.00,535.00,8220571.00,57,-5.00,6.00,0.00,1.13,-0.78,0.00,0.00
11,SANIMA,-,730.00,745.00,730.00,735.00,735.00,0.00,0.00,735.99,58413.00,730.00,42991200.00,101,5.00,15.00,0.00,2.05,-0.13,0.00,0.00
12,SBI,-,1424.00,1425.00,1401.00,1408.00,1408.00,0.00,0.00,1419.76,5372.00,1424.00,7626948.00,21,-16.00,24.00,0.00,1.71,-0.84,0.00,0.00
13,SCB,-,2670.00,2907.00,2650.00,2850.00,2850.00,0.00,0.00,2747.74,11549.00,2670.00,31733680.00,76,180.00,257.00,0.00,9.70,3.59,0.00,0.00
