S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ADBL,41.14,317.30,321.00,315.00,319.50,319.50,0.00,0.00,318.12,26821.00,317.30,8532207.90,130,2.20,6.00,0.69,1.90,0.43,303.60,302.15,400.00,272.30
2,CZBIL,44.07,208.00,211.00,208.00,210.00,210.00,0.00,0.00,209.17,53482.00,204.00,11186904.40,219,6.00,3.00,2.94,1.44,0.39,211.27,212.01,265.30,196.00
3,EBL,37.52,715.00,722.00,713.00,720.00,720.00,0.00,0.00,718.51,27218.00,714.80,19556486.70,172,5.20,9.00,0.73,1.26,0.21,667.63,645.95,780.60,567.00
4,GBIME,41.87,250.30,252.00,247.00,249.00,249.00,0.00,0.00,249.46,93704.00,247.00,23375581.20,263,2.00,5.00,0.81,2.02,-0.19,237.76,233.01,278.90,210.70
5,HBL,40.80,201.00,203.80,199.10,203.80,203.80,0.00,0.00,200.54,63549.00,201.50,12744399.00,2101,2.30,4.70,1.14,2.36,1.60,222.82,227.18,286.00,184.00
6,KBL,41.44,192.00,193.00,190.00,192.00,192.00,0.00,0.00,191.04,159082.00,190.30,30390353.20,395,1.70,3.00,0.89,1.58,0.50,206.82,207.20,253.50,175.50
7,LSL,39.34,231.00,233.00,229.40,232.00,232.00,0.00,0.00,231.16,52268.00,230.00,12082441.60,122,2.00,3.60,0.87,1.57,0.36,223.57,223.28,274.90,201.00
8,MBL,31.03,225.00,225.00,219.60,222.00,222.00,0.00,0.00,221.46,45197.00,224.00,10009145.80,182,-2.00,5.40,-0.89,2.46,0.25,232.91,232.43,290.00,208.60
9,NABIL,41.18,524.00,528.00,521.00,527.00,527.00,0.00,0.00,524.87,30997.00,521.60,16269472.50,305,5.40,7.00,1.04,1.34,0.40,504.34,500.95,619.00,471.00
10,NBL,39.41,255.00,255.00,250.00,251.90,251.90,0.00,0.00,250.98,23772.00,250.00,5966379.90,159,1.90,5.00,0.76,2.00,0.36,260.13,259.53,313.00,225.40
11,NICA,39.32,335.00,337.00,333.00,334.00,334.00,0.00,0.00,333.94,31511.00,331.20,10522752.90,193,2.80,4.00,0.85,1.20,0.02,361.63,367.26,505.00,308.70
12,NIMB,39.13,206.00,208.70,205.10,208.00,208.00,0.00,0.00,206.54,35961.00,206.00,7427393.30,179,2.00,3.60,0.97,1.76,0.70,214.15,214.74,264.90,189.20
13,NMB,42.27,248.40,250.00,245.00,248.50,248.50,0.00,0.00,247.94,35996.00,248.40,8924993.20,101,0.10,5.00,0.04,2.04,0.22,249.74,248.79,288.00,230.00
14,PCBL,40.11,251.00,253.00,248.50,253.00,253.00,0.00,0.00,251.00,22288.00,248.90,5594276.70,75,4.10,4.50,1.65,1.81,0.79,252.13,251.96,305.70,226.00
15,PRVU,40.53,206.00,208.90,206.00,207.90,207.90,0.00,0.00,207.08,50781.00,205.90,10515810.90,197,2.00,2.90,0.97,1.41,0.39,211.53,215.26,273.00,186.00
16,SANIMA,34.69,335.00,335.00,331.00,335.00,335.00,0.00,0.00,333.79,57946.00,332.90,19341918.10,191,2.10,4.00,0.63,1.21,0.36,333.80,322.78,391.00,285.00
17,SBI,37.16,396.00,398.00,391.00,393.00,393.00,0.00,0.00,392.54,3248.00,395.90,1274964.90,40,-2.90,7.00,-0.73,1.79,0.12,404.86,411.44,549.00,363.00
18,SBL,31.77,360.00,363.10,357.30,360.00,360.00,0.00,0.00,360.14,20952.00,356.00,7545718.00,66,4.00,5.80,1.12,1.62,-0.04,325.59,314.38,408.00,261.00
19,SCB,38.92,636.00,636.00,626.00,630.00,630.00,0.00,0.00,629.75,5718.00,624.10,3600896.80,77,5.90,10.00,0.95,1.60,0.04,630.00,642.97,779.20,594.90
