S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,476.00,485.00,470.00,479.00,479.00,0.00,0.00,476.21,2695.00,476.00,1283385.00,20,3.00,15.00,0.00,3.19,0.58,0.00,0.00
2,CZBIL,-,419.00,426.00,412.00,426.00,426.00,0.00,0.00,419.77,10256.00,419.00,4305154.00,33,7.00,14.00,0.00,3.40,1.46,0.00,0.00
3,EBL,-,1915.00,1950.00,1900.00,1908.00,1908.00,0.00,0.00,1917.48,7377.00,1915.00,14145268.00,34,-7.00,50.00,0.00,2.63,-0.50,0.00,0.00
4,GBIME,-,495.00,504.00,495.00,497.00,497.00,0.00,0.00,497.33,7761.00,495.00,3859764.00,26,2.00,9.00,0.00,1.82,-0.07,0.00,0.00
5,HBL,-,765.00,770.00,760.00,760.00,760.00,0.00,0.00,762.50,1480.00,765.00,1128500.00,9,-5.00,10.00,0.00,1.32,-0.33,0.00,0.00
6,KBL,-,365.00,385.00,370.00,384.00,384.00,0.00,0.00,376.29,2293.00,365.00,862831.00,7,19.00,15.00,0.00,4.05,2.01,0.00,0.00
7,MBL,-,540.00,550.00,541.00,550.00,550.00,0.00,0.00,547.33,18274.00,540.00,10001903.00,37,10.00,9.00,0.00,1.66,0.49,0.00,0.00
8,NABIL,-,1820.00,1875.00,1835.00,1875.00,1875.00,0.00,0.00,1857.00,2383.00,1820.00,4425236.00,17,55.00,40.00,0.00,2.18,0.96,0.00,0.00
9,NBL,-,345.00,355.00,340.00,340.00,340.00,0.00,0.00,345.07,45362.00,345.00,15653130.00,93,-5.00,15.00,0.00,4.41,-1.49,0.00,0.00
10,NICA,-,695.00,682.00,658.00,658.00,658.00,0.00,0.00,666.33,42.00,695.00,27986.00,3,-37.00,24.00,0.00,3.65,-1.27,0.00,0.00
11,PCBL,-,440.00,442.00,434.00,434.00,434.00,0.00,0.00,438.74,4721.00,440.00,2071285.00,23,-6.00,8.00,0.00,1.84,-1.09,0.00,0.00
12,SANIMA,-,536.00,538.00,526.00,526.00,526.00,0.00,0.00,532.18,5190.00,536.00,2762022.00,22,-10.00,12.00,0.00,2.28,-1.18,0.00,0.00
13,SBI,-,930.00,960.00,914.00,960.00,960.00,0.00,0.00,936.65,838.00,930.00,784914.00,8,30.00,46.00,0.00,5.03,2.43,0.00,0.00
14,SBL,-,647.00,660.00,645.00,651.00,651.00,0.00,0.00,652.00,9356.00,647.00,6100148.00,23,4.00,15.00,0.00,2.33,-0.15,0.00,0.00
15,SCB,-,1920.00,1915.00,1915.00,1915.00,1915.00,0.00,0.00,1915.00,79.00,1920.00,151285.00,1,-5.00,0.00,0.00,0.00,0.00,0.00,0.00
1,ADBL,-,479.00,481.00,474.00,478.00,478.00,0.00,0.00,477.07,1201.00,479.00,572959.00,17,-1.00,7.00,0.00,1.48,0.19,0.00,0.00
2,CZBIL,-,426.00,436.00,430.00,433.00,433.00,0.00,0.00,432.60,13129.00,426.00,5679603.00,32,7.00,6.00,0.00,1.40,0.09,0.00,0.00
3,EBL,-,1908.00,1950.00,1935.00,1950.00,1950.00,0.00,0.00,1940.01,12527.00,1908.00,24302548.00,50,42.00,15.00,0.00,0.78,0.51,0.00,0.00
4,GBIME,-,497.00,508.00,497.00,502.00,502.00,0.00,0.00,501.96,7802.00,497.00,3916266.00,41,5.00,11.00,0.00,2.21,0.01,0.00,0.00
5,HBL,-,760.00,805.00,768.00,805.00,805.00,0.00,0.00,774.12,1146.00,760.00,887136.00,9,45.00,37.00,0.00,4.82,3.84,0.00,0.00
6,KBL,-,384.00,390.00,380.00,387.00,387.00,0.00,0.00,384.70,2132.00,384.00,820183.00,8,3.00,10.00,0.00,2.63,0.59,0.00,0.00
7,MBL,-,550.00,567.00,552.00,563.00,563.00,0.00,0.00,560.92,16446.00,550.00,9224834.00,51,13.00,15.00,0.00,2.72,0.37,0.00,0.00
8,NABIL,-,1875.00,1889.00,1866.00,1880.00,1880.00,0.00,0.00,1874.97,1918.00,1875.00,3596189.00,16,5.00,23.00,0.00,1.23,0.27,0.00,0.00
9,NBL,-,340.00,350.00,343.00,345.00,345.00,0.00,0.00,345.38,51424.00,340.00,17760970.00,82,5.00,7.00,0.00,2.04,-0.11,0.00,0.00
10,NICA,-,658.00,675.00,656.00,670.00,670.00,0.00,0.00,670.55,9163.00,658.00,6144210.00,46,12.00,19.00,0.00,2.90,-0.08,0.00,0.00
11,PCBL,-,434.00,447.00,427.00,447.00,447.00,0.00,0.00,442.45,3416.00,434.00,1511397.00,16,13.00,20.00,0.00,4.68,1.02,0.00,0.00
12,PRVU,-,207.00,227.00,211.00,227.00,227.00,0.00,0.00,219.00,50.00,207.00,10950.00,5,20.00,16.00,0.00,7.58,3.52,0.00,0.00
13,SANIMA,-,526.00,545.00,529.00,540.00,540.00,0.00,0.00,536.24,14625.00,526.00,7842438.00,31,14.00,16.00,0.00,3.02,0.70,0.00,0.00
14,SBI,-,960.00,960.00,950.00,950.00,950.00,0.00,0.00,957.35,668.00,960.00,639511.00,5,-10.00,10.00,0.00,1.05,-0.77,0.00,0.00
15,SBL,-,651.00,668.00,650.00,665.00,665.00,0.00,0.00,656.38,16800.00,651.00,11027261.00,27,14.00,18.00,0.00,2.77,1.30,0.00,0.00
16,SCB,-,1915.00,1940.00,1920.00,1939.00,1939.00,0.00,0.00,1931.36,1946.00,1915.00,3758425.00,8,24.00,20.00,0.00,1.04,0.39,0.00,0.00
1,ADBL,-,478.00,487.00,471.00,487.00,487.00,0.00,0.00,476.27,1739.00,478.00,828237.00,17,9.00,16.00,0.00,3.40,2.20,0.00,0.00
2,CZBIL,-,433.00,440.00,425.00,428.00,428.00,0.00,0.00,430.66,4085.00,433.00,1759229.00,27,-5.00,15.00,0.00,3.53,-0.62,0.00,0.00
3,EBL,-,1950.00,1985.00,1930.00,1960.00,1960.00,0.00,0.00,1956.36,4362.00,1950.00,8533639.00,32,10.00,55.00,0.00,2.85,0.19,0.00,0.00
4,GBIME,-,502.00,513.00,490.00,502.00,502.00,0.00,0.00,506.33,5955.00,502.00,3015201.00,44,0.00,23.00,0.00,4.69,-0.86,0.00,0.00
5,HBL,-,805.00,835.00,806.00,815.00,815.00,0.00,0.00,813.18,4423.00,805.00,3596676.00,18,10.00,29.00,0.00,3.60,0.22,0.00,0.00
6,KBL,-,387.00,396.00,380.00,388.00,388.00,0.00,0.00,387.31,6772.00,387.00,2622837.00,19,1.00,16.00,0.00,4.21,0.18,0.00,0.00
7,MBL,-,563.00,571.00,552.00,560.00,560.00,0.00,0.00,559.60,19931.00,563.00,11153394.00,64,-3.00,19.00,0.00,3.44,0.07,0.00,0.00
8,NABIL,-,1880.00,1901.00,1855.00,1886.00,1886.00,0.00,0.00,1882.35,2264.00,1880.00,4261634.00,20,6.00,46.00,0.00,2.48,0.19,0.00,0.00
9,NBL,-,345.00,357.00,343.00,350.00,350.00,0.00,0.00,347.25,35499.00,345.00,12326855.00,55,5.00,14.00,0.00,4.08,0.79,0.00,0.00
10,NICA,-,670.00,685.00,666.00,667.00,667.00,0.00,0.00,670.47,7320.00,670.00,4907849.00,27,-3.00,19.00,0.00,2.85,-0.52,0.00,0.00
11,PCBL,-,447.00,453.00,440.00,441.00,441.00,0.00,0.00,446.84,5703.00,447.00,2548350.00,21,-6.00,13.00,0.00,2.95,-1.33,0.00,0.00
12,PRVU,-,227.00,249.00,231.00,249.00,249.00,0.00,0.00,245.09,102303.00,227.00,25072948.00,13,22.00,18.00,0.00,7.79,1.57,0.00,0.00
13,SANIMA,-,540.00,550.00,535.00,539.00,539.00,0.00,0.00,542.83,17418.00,540.00,9454952.00,48,-1.00,15.00,0.00,2.80,-0.71,0.00,0.00
14,SBI,-,950.00,956.00,951.00,951.00,951.00,0.00,0.00,953.21,1041.00,950.00,992296.00,5,1.00,5.00,0.00,0.53,-0.23,0.00,0.00
15,SBL,-,665.00,670.00,643.00,655.00,655.00,0.00,0.00,662.64,3161.00,665.00,2094607.00,16,-10.00,27.00,0.00,4.20,-1.17,0.00,0.00
16,SCB,-,1939.00,1955.00,1939.00,1949.00,1949.00,0.00,0.00,1946.73,2540.00,1939.00,4944688.00,11,10.00,16.00,0.00,0.83,0.12,0.00,0.00
1,ADBL,-,487.00,480.00,466.00,475.00,475.00,0.00,0.00,473.42,3920.00,487.00,1855816.00,32,-12.00,14.00,0.00,3.00,0.33,0.00,0.00
2,CZBIL,-,428.00,431.00,412.00,430.00,430.00,0.00,0.00,427.17,2634.00,428.00,1125154.00,26,2.00,19.00,0.00,4.61,0.66,0.00,0.00
3,EBL,-,1960.00,1963.00,1949.00,1950.00,1950.00,0.00,0.00,1952.78,4781.00,1960.00,9336224.00,25,-10.00,14.00,0.00,0.72,-0.14,0.00,0.00
4,GBIME,-,502.00,505.00,487.00,503.00,503.00,0.00,0.00,499.80,7248.00,502.00,3622540.00,39,1.00,18.00,0.00,3.70,0.64,0.00,0.00
5,HBL,-,815.00,816.00,800.00,805.00,805.00,0.00,0.00,806.10,3183.00,815.00,2565803.00,13,-10.00,16.00,0.00,2.00,-0.14,0.00,0.00
6,KBL,-,388.00,383.00,375.00,378.00,378.00,0.00,0.00,379.11,6412.00,388.00,2430839.00,19,-10.00,8.00,0.00,2.13,-0.29,0.00,0.00
7,MBL,-,560.00,556.00,548.00,550.00,550.00,0.00,0.00,551.09,5892.00,560.00,3247019.00,12,-10.00,8.00,0.00,1.46,-0.20,0.00,0.00
8,NABIL,-,1886.00,1862.00,1852.00,1852.00,1852.00,0.00,0.00,1854.37,421.00,1886.00,780690.00,5,-34.00,10.00,0.00,0.54,-0.13,0.00,0.00
9,NBL,-,350.00,346.00,341.00,342.00,342.00,0.00,0.00,343.38,14720.00,350.00,5054512.00,31,-8.00,5.00,0.00,1.47,-0.40,0.00,0.00
10,NICA,-,667.00,670.00,661.00,661.00,661.00,0.00,0.00,663.71,4534.00,667.00,3009263.00,30,-6.00,9.00,0.00,1.36,-0.41,0.00,0.00
11,PCBL,-,441.00,447.00,434.00,443.00,443.00,0.00,0.00,440.17,5515.00,441.00,2427558.00,26,2.00,13.00,0.00,3.00,0.64,0.00,0.00
12,PRVU,-,249.00,273.00,253.00,273.00,273.00,0.00,0.00,269.51,170924.00,249.00,46064996.00,160,24.00,20.00,0.00,7.91,1.28,0.00,0.00
13,SANIMA,-,539.00,544.00,537.00,539.00,539.00,0.00,0.00,540.38,13664.00,539.00,7383809.00,40,0.00,7.00,0.00,1.30,-0.26,0.00,0.00
14,SBI,-,951.00,955.00,945.00,950.00,950.00,0.00,0.00,949.76,3244.00,951.00,3081019.00,9,-1.00,10.00,0.00,1.06,0.03,0.00,0.00
15,SBL,-,655.00,665.00,644.00,658.00,658.00,0.00,0.00,658.60,3423.00,655.00,2254398.00,21,3.00,21.00,0.00,3.26,-0.09,0.00,0.00
16,SCB,-,1949.00,1950.00,1900.00,1903.00,1903.00,0.00,0.00,1923.21,1312.00,1949.00,2523257.00,7,-46.00,50.00,0.00,2.63,-1.06,0.00,0.00
1,ADBL,-,475.00,476.00,467.00,476.00,476.00,0.00,0.00,470.43,3541.00,475.00,1665797.00,37,1.00,9.00,0.00,1.93,1.17,0.00,0.00
2,CZBIL,-,430.00,439.00,422.00,430.00,430.00,0.00,0.00,430.29,3714.00,430.00,1598080.00,20,0.00,17.00,0.00,4.03,-0.07,0.00,0.00
3,EBL,-,1950.00,1989.00,1945.00,1973.00,1973.00,0.00,0.00,1963.51,6564.00,1950.00,12888509.00,32,23.00,44.00,0.00,2.26,0.48,0.00,0.00
4,GBIME,-,503.00,505.00,495.00,501.00,501.00,0.00,0.00,500.10,20370.00,503.00,10187005.00,49,-2.00,10.00,0.00,2.02,0.18,0.00,0.00
5,HBL,-,805.00,811.00,805.00,805.00,805.00,0.00,0.00,807.08,884.00,805.00,713456.00,3,0.00,6.00,0.00,0.75,-0.26,0.00,0.00
6,KBL,-,378.00,385.00,371.00,373.00,373.00,0.00,0.00,376.61,4210.00,378.00,1585513.00,19,-5.00,14.00,0.00,3.77,-0.97,0.00,0.00
7,MBL,-,550.00,558.00,540.00,554.00,554.00,0.00,0.00,550.56,12093.00,550.00,6657972.00,19,4.00,18.00,0.00,3.33,0.62,0.00,0.00
8,NABIL,-,1852.00,1898.00,1870.00,1885.00,1885.00,0.00,0.00,1881.67,1365.00,1852.00,2568485.00,15,33.00,28.00,0.00,1.50,0.18,0.00,0.00
9,NBL,-,342.00,348.00,336.00,342.00,342.00,0.00,0.00,341.30,14193.00,342.00,4844129.00,27,0.00,12.00,0.00,3.57,0.20,0.00,0.00
10,NICA,-,661.00,668.00,650.00,658.00,658.00,0.00,0.00,661.37,7487.00,661.00,4951675.00,37,-3.00,18.00,0.00,2.77,-0.51,0.00,0.00
11,PCBL,-,443.00,447.00,440.00,441.00,441.00,0.00,0.00,444.49,1815.00,443.00,806756.00,21,-2.00,7.00,0.00,1.59,-0.79,0.00,0.00
12,PRVU,-,273.00,288.00,268.00,271.00,271.00,0.00,0.00,273.82,199210.00,273.00,54548016.00,460,-2.00,20.00,0.00,7.46,-1.04,0.00,0.00
13,SANIMA,-,539.00,541.00,529.00,535.00,535.00,0.00,0.00,536.23,6958.00,539.00,3731076.00,20,-4.00,12.00,0.00,2.27,-0.23,0.00,0.00
14,SBI,-,950.00,942.00,906.00,934.00,934.00,0.00,0.00,923.89,1066.00,950.00,984872.00,8,-16.00,36.00,0.00,3.97,1.08,0.00,0.00
15,SBL,-,658.00,664.00,651.00,660.00,660.00,0.00,0.00,655.85,2907.00,658.00,1906549.00,13,2.00,13.00,0.00,2.00,0.63,0.00,0.00
16,SCB,-,1903.00,1941.00,1903.00,1925.00,1925.00,0.00,0.00,1923.66,1092.00,1903.00,2100641.00,10,22.00,38.00,0.00,2.00,0.07,0.00,0.00
1,ADBL,-,476.00,480.00,472.00,473.00,473.00,0.00,0.00,474.72,2511.00,476.00,1192029.00,27,-3.00,8.00,0.00,1.69,-0.36,0.00,0.00
2,CZBIL,-,430.00,441.00,425.00,434.00,434.00,0.00,0.00,435.50,7729.00,430.00,3366003.00,34,4.00,16.00,0.00,3.76,-0.35,0.00,0.00
3,EBL,-,1973.00,2000.00,1900.00,1981.00,1981.00,0.00,0.00,1966.60,5464.00,1973.00,10745479.00,37,8.00,100.00,0.00,5.26,0.73,0.00,0.00
4,GBIME,-,501.00,510.00,500.00,503.00,503.00,0.00,0.00,503.68,16983.00,501.00,8553925.00,60,2.00,10.00,0.00,2.00,-0.13,0.00,0.00
5,HBL,-,805.00,815.00,807.00,815.00,815.00,0.00,0.00,809.56,409.00,805.00,331112.00,4,10.00,8.00,0.00,0.99,0.67,0.00,0.00
6,KBL,-,373.00,388.00,377.00,377.00,377.00,0.00,0.00,381.95,2267.00,373.00,865881.00,14,4.00,11.00,0.00,2.92,-1.31,0.00,0.00
7,MBL,-,554.00,557.00,535.00,546.00,546.00,0.00,0.00,549.17,15036.00,554.00,8257258.00,35,-8.00,22.00,0.00,4.11,-0.58,0.00,0.00
8,NABIL,-,1885.00,1901.00,1880.00,1890.00,1890.00,0.00,0.00,1885.79,1201.00,1885.00,2264832.00,8,5.00,21.00,0.00,1.12,0.22,0.00,0.00
9,NBL,-,342.00,348.00,341.00,344.00,344.00,0.00,0.00,344.64,17190.00,342.00,5924286.00,35,2.00,7.00,0.00,2.05,-0.18,0.00,0.00
10,NICA,-,658.00,680.00,660.00,670.00,670.00,0.00,0.00,668.21,4341.00,658.00,2900681.00,39,12.00,20.00,0.00,3.03,0.27,0.00,0.00
11,PCBL,-,441.00,453.00,442.00,442.00,442.00,0.00,0.00,448.29,3344.00,441.00,1499075.00,25,1.00,11.00,0.00,2.49,-1.42,0.00,0.00
12,PRVU,-,271.00,276.00,268.00,271.00,271.00,0.00,0.00,271.83,52836.00,271.00,14362285.00,215,0.00,8.00,0.00,2.99,-0.31,0.00,0.00
13,SANIMA,-,535.00,570.00,535.00,545.00,545.00,0.00,0.00,542.83,8924.00,535.00,4844213.00,39,10.00,35.00,0.00,6.54,0.40,0.00,0.00
14,SBI,-,934.00,954.00,950.00,954.00,954.00,0.00,0.00,951.27,1471.00,934.00,1399312.00,11,20.00,4.00,0.00,0.42,0.29,0.00,0.00
15,SBL,-,660.00,671.00,659.00,664.00,664.00,0.00,0.00,664.12,7609.00,660.00,5053252.00,27,4.00,12.00,0.00,1.82,-0.02,0.00,0.00
16,SCB,-,1925.00,1946.00,1940.00,1945.00,1945.00,0.00,0.00,1944.12,249.00,1925.00,484086.00,4,20.00,6.00,0.00,0.31,0.05,0.00,0.00
1,ADBL,-,473.00,484.00,465.00,484.00,484.00,0.00,0.00,473.76,3451.00,473.00,1634939.00,22,11.00,19.00,0.00,4.09,2.12,0.00,0.00
2,CZBIL,-,434.00,436.00,427.00,433.00,433.00,0.00,0.00,431.48,4889.00,434.00,2109516.00,34,-1.00,9.00,0.00,2.11,0.35,0.00,0.00
3,EBL,-,1981.00,1990.00,1975.00,1981.00,1981.00,0.00,0.00,1980.44,3992.00,1981.00,7905925.00,21,0.00,15.00,0.00,0.76,0.03,0.00,0.00
4,GBIME,-,503.00,505.00,496.00,504.00,504.00,0.00,0.00,501.38,4963.00,503.00,2488368.00,39,1.00,9.00,0.00,1.81,0.52,0.00,0.00
5,HBL,-,815.00,825.00,800.00,815.00,815.00,0.00,0.00,811.12,732.00,815.00,593738.00,6,0.00,25.00,0.00,3.13,0.48,0.00,0.00
6,KBL,-,377.00,383.00,373.00,383.00,383.00,0.00,0.00,374.36,4349.00,377.00,1628082.00,9,6.00,10.00,0.00,2.68,2.26,0.00,0.00
7,MBL,-,546.00,551.00,545.00,550.00,550.00,0.00,0.00,547.91,12280.00,546.00,6728396.00,30,4.00,6.00,0.00,1.10,0.38,0.00,0.00
8,NABIL,-,1890.00,1881.00,1855.00,1855.00,1855.00,0.00,0.00,1865.05,1113.00,1890.00,2075796.00,10,-35.00,26.00,0.00,1.40,-0.54,0.00,0.00
9,NBL,-,344.00,344.00,340.00,343.00,343.00,0.00,0.00,342.31,16144.00,344.00,5526179.00,27,-1.00,4.00,0.00,1.18,0.20,0.00,0.00
10,NICA,-,670.00,682.00,661.00,661.00,661.00,0.00,0.00,666.92,3460.00,670.00,2307543.00,34,-9.00,21.00,0.00,3.18,-0.90,0.00,0.00
11,PCBL,-,442.00,446.00,438.00,446.00,446.00,0.00,0.00,441.64,4699.00,442.00,2075286.00,25,4.00,8.00,0.00,1.83,0.98,0.00,0.00
12,PRVU,-,271.00,271.00,263.00,265.00,265.00,0.00,0.00,264.87,45356.00,271.00,12013379.00,181,-6.00,8.00,0.00,3.04,0.05,0.00,0.00
13,SANIMA,-,545.00,546.00,532.00,542.00,542.00,0.00,0.00,538.63,13750.00,545.00,7406158.00,31,-3.00,14.00,0.00,2.63,0.62,0.00,0.00
14,SBI,-,954.00,950.00,941.00,946.00,946.00,0.00,0.00,947.42,2009.00,954.00,1903366.00,8,-8.00,9.00,0.00,0.96,-0.15,0.00,0.00
15,SBL,-,664.00,666.00,654.00,666.00,666.00,0.00,0.00,660.05,3138.00,664.00,2071243.00,21,2.00,12.00,0.00,1.83,0.89,0.00,0.00
16,SCB,-,1945.00,1966.00,1935.00,1945.00,1945.00,0.00,0.00,1948.43,1221.00,1945.00,2379034.00,12,0.00,31.00,0.00,1.60,-0.18,0.00,0.00
1,ADBL,-,484.00,479.00,468.00,473.00,473.00,0.00,0.00,472.19,3521.00,484.00,1662570.00,34,-11.00,11.00,0.00,2.35,0.17,0.00,0.00
2,CZBIL,-,433.00,432.00,417.00,427.00,427.00,0.00,0.00,423.28,3331.00,433.00,1409932.00,22,-6.00,15.00,0.00,3.60,0.87,0.00,0.00
3,EBL,-,1981.00,1987.00,1940.00,1960.00,1960.00,0.00,0.00,1957.63,4852.00,1981.00,9498440.00,17,-21.00,47.00,0.00,2.42,0.12,0.00,0.00
4,GBIME,-,504.00,508.00,495.00,500.00,500.00,0.00,0.00,498.50,21360.00,504.00,10647942.00,51,-4.00,13.00,0.00,2.63,0.30,0.00,0.00
5,HBL,-,815.00,828.00,801.00,828.00,828.00,0.00,0.00,808.91,1378.00,815.00,1114676.00,8,13.00,27.00,0.00,3.37,2.31,0.00,0.00
6,KBL,-,383.00,377.00,371.00,371.00,371.00,0.00,0.00,372.29,3172.00,383.00,1180918.00,7,-12.00,6.00,0.00,1.62,-0.35,0.00,0.00
7,MBL,-,550.00,550.00,528.00,545.00,545.00,0.00,0.00,539.98,12500.00,550.00,6749697.00,27,-5.00,22.00,0.00,4.17,0.92,0.00,0.00
8,NABIL,-,1855.00,1859.00,1840.00,1855.00,1855.00,0.00,0.00,1847.73,490.00,1855.00,905390.00,7,0.00,19.00,0.00,1.03,0.39,0.00,0.00
9,NBL,-,343.00,344.00,338.00,340.00,340.00,0.00,0.00,341.53,15061.00,343.00,5143767.00,23,-3.00,6.00,0.00,1.78,-0.45,0.00,0.00
10,NICA,-,661.00,665.00,655.00,658.00,658.00,0.00,0.00,658.31,1816.00,661.00,1195484.00,15,-3.00,10.00,0.00,1.53,-0.05,0.00,0.00
11,PCBL,-,446.00,450.00,440.00,445.00,445.00,0.00,0.00,444.45,1535.00,446.00,682230.00,11,-1.00,10.00,0.00,2.27,0.12,0.00,0.00
12,PRVU,-,265.00,267.00,261.00,267.00,267.00,0.00,0.00,263.81,39542.00,265.00,10431636.00,125,2.00,6.00,0.00,2.30,1.19,0.00,0.00
13,SANIMA,-,542.00,545.00,530.00,538.00,538.00,0.00,0.00,535.15,14054.00,542.00,7520945.00,34,-4.00,15.00,0.00,2.83,0.53,0.00,0.00
14,SBI,-,946.00,935.00,932.00,932.00,932.00,0.00,0.00,932.98,670.00,946.00,625094.00,4,-14.00,3.00,0.00,0.32,-0.10,0.00,0.00
15,SBL,-,666.00,666.00,653.00,666.00,666.00,0.00,0.00,660.29,5136.00,666.00,3391242.00,19,0.00,13.00,0.00,1.99,0.86,0.00,0.00
16,SCB,-,1945.00,1945.00,1912.00,1921.00,1921.00,0.00,0.00,1928.44,801.00,1945.00,1544681.00,9,-24.00,33.00,0.00,1.73,-0.39,0.00,0.00
1,ADBL,-,473.00,475.00,466.00,475.00,475.00,0.00,0.00,472.74,1012.00,473.00,478410.00,15,2.00,9.00,0.00,1.93,0.48,0.00,0.00
2,CZBIL,-,427.00,434.00,420.00,429.00,429.00,0.00,0.00,427.51,1758.00,427.00,751555.00,25,2.00,14.00,0.00,3.33,0.35,0.00,0.00
3,EBL,-,1960.00,1970.00,1945.00,1961.00,1961.00,0.00,0.00,1956.19,1823.00,1960.00,3566138.00,16,1.00,25.00,0.00,1.29,0.25,0.00,0.00
4,GBIME,-,500.00,505.00,495.00,502.00,502.00,0.00,0.00,499.40,15758.00,500.00,7869560.00,41,2.00,10.00,0.00,2.02,0.52,0.00,0.00
5,HBL,-,828.00,830.00,810.00,830.00,830.00,0.00,0.00,816.19,1517.00,828.00,1238162.00,7,2.00,20.00,0.00,2.47,1.66,0.00,0.00
6,KBL,-,371.00,382.00,368.00,380.00,380.00,0.00,0.00,371.20,5069.00,371.00,1881633.00,16,9.00,14.00,0.00,3.80,2.31,0.00,0.00
7,MBL,-,545.00,555.00,525.00,555.00,555.00,0.00,0.00,543.16,13610.00,545.00,7392390.00,26,10.00,30.00,0.00,5.71,2.13,0.00,0.00
8,NABIL,-,1855.00,1890.00,1825.00,1890.00,1890.00,0.00,0.00,1845.51,1921.00,1855.00,3545220.00,12,35.00,65.00,0.00,3.56,2.35,0.00,0.00
